"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"9290774","25006464121001491000000000U1","+VISION","GVMB SA DE CV","464121","Comercio al por menor de lentes","0 a 5 personas","BOULEVARD","JOSE LIMON","AVENIDA","QUIMICO FARMACOBIOLOGO AMADO BLANCARTE","BOULEVARD","HERMES","BOULEVARD","JOSÉ LIMÓN","2545",,,"PLANTA BAJA","19","C","COLONIA","HUMAYA","CENTRO Y PLAZA COMERCIAL","PLAZA SENDEROS",,"80020","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","4312","039",,,,"Fijo","24.8269638","-107.42623291","2020-11"
"3774861","25012466312000141000000000U4","0PTICA LANDAZURI",,"464121","Comercio al por menor de lentes","0 a 5 personas","CALLE","GUILLERMO NELSON","CALLE","21 DE MARZO","CALLE","JOSE MARIA CANIZALES","CALLE","5 DE MAYO","1613",,,,,,"COLONIA","CENTRO",,,,"82000","25","SINALOA","012","Mazatlán","0001","Mazatlán","0406","023","6691598913","OPTICALANDAZURI@HOTMAIL.COM",,"Fijo","23.20108319","-106.42225304","2010-07"
"8490434","25010464113000061000000000U2","ACHANGEL",,"464113","Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios","0 a 5 personas","CALLE","GENERAL ALVARO OBREGON","CALLE","MARIANO ESCOBEDO","CALLE","DOMINGO RUBI","CALLE","GENERAL ÁNGEL FLORES",,"SN",,,,,"COLONIA","EL RASTRO",,,,"81820","25","SINALOA","010","El Fuerte","0001","El Fuerte","0026","005",,,,"Fijo","26.41653468","-108.61952487","2019-11"
"3779732","25006464121000511000000000U7","ALDAY OPTICAS",,"464121","Comercio al por menor de lentes","0 a 5 personas","CALLE","CRISTOBAL COLON","AVENIDA","GENERAL DOMINGO RUBI","AVENIDA","JOSE MARIA MORELOS Y PAVON","BOULEVARD","FRANCISCO I. MADERO","274",,,,"16",,"COLONIA","CENTRO",,,,"80000","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3386","016","6677124784",,,"Fijo","24.80534634","-107.39760479","2010-07"
"8244662","25011464113000511000000000U4","ALIMENTOS Y SUPLEMENTOS NATURALES",,"464113","Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios","0 a 5 personas","CALLE","GENERAL PABLO MACIAS VALENZUELA","AVENIDA","ÁLVAR NUÑEZ CABEZA DE VACA","AVENIDA","DIEGO GUZMAN","BOULEVARD","FRANCISCO RIVERA ROJO",,"SN",,,,,"LOCALIDAD","ADOLFO RUIZ CORTINES",,,,"81121","25","SINALOA","011","Guasave","0035","Adolfo Ruiz Cortines","0199","025","68736667287","ALINAMEX@HOTMAL.COM",,"Fijo","25.70664324","-108.71984619","2019-11"
"6703325","25012464112001543001010716S6","ALMACÉN MODERNA","FARMACON SA DE CV","464112","Farmacias con minisúper","6 a 10 personas","CARRETERA","FEDERALLIBRE 15 MAZATLÁN TEPIC KILÓMETRO 274 700",,"NINGUNO",,"NINGUNO",,"NINGUNO","0","SN",,,,,"PARQUE INDUSTRIAL","PARQUE INDUSTRIAL MAZATLÁN",,,,"82204","25","SINALOA","012","Mazatlán","1029","Santa Benita","1211","800",,,,"Fijo","23.19346","-106.28411","2016-01"
"7326355","25001464111002201000000000U5","AMAR TANTO AMARANTO ORGANICO",,"464111","Farmacias sin minisúper","0 a 5 personas","CALLE","NORTE 1","AVENIDA","MARIANO ESCOBEDO","AVENIDA","LEANDRO VALLE","AVENIDA","CONSTITUCIÓN","2167",,,,"0",,"FRACCIONAMIENTO","JARDINES DE VILLA",,,,"81293","25","SINALOA","001","Ahome","0001","Los Mochis","2216","027","6682260922","HUICHAPAN97@GMAIL.COM",,"Fijo","25.76763264","-109.00052486","2019-11"
"3814842","25006464121000991000000000U1","AMERICA VISIÓN ÓPTICA",,"464121","Comercio al por menor de lentes","0 a 5 personas","BOULEVARD","FRANCISCO I. MADERO","AVENIDA","DOCTOR RUPERTO L. PALIZA","AVENIDA","ÁLVARO OBREGON","CALLE","GENERAL FRANCISCO VILLA","66","SN",,,"4",,"COLONIA","CENTRO",,,,"80000","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3418","027","6677521510","AVOPTICA@HOTMAIL.COM",,"Fijo","24.80455437","-107.39353352","2014-12"
"3835021","25011464121000091000000000M0","AMERICA VISION OPTICA",,"464121","Comercio al por menor de lentes","0 a 5 personas","AVENIDA","JUAN CARRASCO","CALLE","GENERAL ÁLVARO OBREGON","CALLE","CORREGIDORA","AVENIDA","IGNACIO ZARAGOZA","240",,,,,,"COLONIA","CENTRO",,,,"81000","25","SINALOA","011","Guasave","0001","Guasave","1360","026",,,,"Fijo","25.5602857","-108.46158431","2010-07"
"3797180","25001464122000021000000000M6","AUDILAB AUDIFONOS PARA SORDERA",,"464122","Comercio al por menor de artículos ortopédicos","0 a 5 personas","AVENIDA","INDEPENDENCIA","CALLE","VICENTE GUERRERO","CALLE","GENERAL ÁNGEL FLORES","CALLEJON","GUADALUPE VICTORIA","508",,,,,,"SECTOR","CENTRO",,,,"81200","25","SINALOA","001","Ahome","0001","Los Mochis","0262","018",,"AUDILABMOCHIS@HOTMAIL.COM","WWW.AUDILAB.COM.MX","Fijo","25.79089523","-108.99564327","2014-12"
