"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"8263596","25001466312001401000000000S4","11:11 EVENTS",,"466312","Comercio al por menor de plantas y flores naturales","0 a 5 personas","AVENIDA","FRANCISCO I. MADERO","CALLE","RIO SAN LORENZO","CALLE","RIO SINALOA","CALLE","GENARO ESTRADA",,"SN",,,,,"SECTOR","SCALLY",,,,"81240","25","SINALOA","001","Ahome","0001","Los Mochis","0258","004",,,,"Fijo","25.79697058","-108.99971403","2019-11"
"8263603","25001466312001191000000000U1","11:11 FLOWERS",,"466312","Comercio al por menor de plantas y flores naturales","0 a 5 personas","AVENIDA","FRANCISCO I. MADERO","CALLE","RIO SAN LORENZO","CALLE","RIO SINALOA","CALLE","GENARO ESTRADA","1050",,,,,,"SECTOR","SCALLY",,,,"81240","25","SINALOA","001","Ahome","0001","Los Mochis","0258","004","6681443770",,,"Fijo","25.79698897","-108.99974669","2019-11"
"6390797","25006466112000532001003387S0","121 CULIACAN CLOUTHIER","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","6 a 10 personas","AVENIDA","MAQUIO J CLOUTHER","CALLE","LAGUNA DE CHAPALA","CALLE","LAGO MARACAIBO","CALLE","LAGO ONTARIO","0","SN",,,,,"COLONIA","CULIACAN CENTRO",,,,"80000","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3564","037",,,"WWW.ELEKTRA.COM.MX","Fijo","24.79005388","-107.42565495","2010-07"
"6387256","25001466112000342001003387S5","2011 ELEKTRA DEL MILENIO","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","6 a 10 personas","CALLE","GENERAL IGNACIO ZARAGOZA SUR","AVENIDA","INDEPENDENCIA","CALLE","JUAN DE LA BARRERA","AVENIDA","GUILLERMO PRIETO","317",,,,,,"COLONIA","CENTRO",,,,"81200","25","SINALOA","001","Ahome","0001","Los Mochis","0313","031",,,"WWW.ELEKTRA.COM.MX","Fijo","25.78931095","-108.99352777","2010-07"
"6390291","25012466112000311002003387S7","2047 MAZATLAN JACARANDAS","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","6 a 10 personas","CARRETERA","Adolfo López Mateos","CALLE","SANTA ROSA","CALLE","SANTA LUCIA","AVENIDA","Santa Rosa","2200",,,,"0",,"HACIENDA","JACARANDAS",,,,"82157","25","SINALOA","012","Mazatlán","0001","Mazatlán","1739","041",,,"WWW.ELEKTRA.COM.MX","Fijo","23.24219937","-106.42189363","2010-07"
"6388425","25006466112000612002003387S0","2098 CULIACAN MADERO","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","6 a 10 personas","BOULEVARD","FRANCISCO I MADERO ORIENTE","AVENIDA","REVOLUCION","AVENIDA","JAIME TORRES BODET","CALLE","CRISTOBAL COLON","1963",,,,,,"COLONIA","MIGUEL HIDALGO",,,,"80090","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","0184","035",,,"WWW.ELEKTRA.COM.MX","Fijo","24.80174205","-107.36735415","2010-07"
"6390432","25001466112000201002003387S3","2197 LOS MOCHIS","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","6 a 10 personas","AVENIDA","MIGUEL HIDALGO","CALLE","GRAL GABRIEL LEYVA","CALLE","IGNACIO ZARAGOZA","CALLE","GRAL ALVARO OBREGON","113",,,,,,"COLONIA","CENTRO",,,,"81200","25","SINALOA","001","Ahome","0001","Los Mochis","0328","016",,,"WWW.ELEKTRA.COM.MX","Fijo","25.78622971","-108.98965344","2010-07"
"7373085","25012466114000451000000000U7","22 DE ABRIL VIDRIERA",,"466114","Comercio al por menor de cristalería, loza y utensilios de cocina","0 a 5 personas","CALLE","SANTA MARIA","CALLE","CALLE DE LOS CAPUCHINOS","CALLE","HUANACAXTLE","CALLE","SANTA CLARA","11321",,,,,,"COLONIA","SAN FRANCISCO",,,,"82129","25","SINALOA","012","Mazatlán","0001","Mazatlán","3735","008","6691722746",,,"Fijo","23.28689591","-106.3999759","2019-11"
"6387307","25012466112000301002003387S8","2464 MAZATLAN 2 13 DE ABRIL","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","6 a 10 personas","CALLE","13 DE ABRIL","CALLE","INTERNACIONAL","CALLE","RAFAEL BUELNA TENORIO","AVENIDA","DE LAS AMERICAS","710",,,,,,"COLONIA","BENITO JUAREZ",,,,"82180","25","SINALOA","012","Mazatlán","0001","Mazatlán","0232","030",,,"WWW.ELEKTRA.COM.MX","Fijo","23.23049422","-106.40553735","2010-07"
"6387266","25011466112000252002003387S5","2668 ELEKTRA DEL MILENIO","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","6 a 10 personas","CALLE","DOCTOR LUIS G DE LA TORRE Y  GUERRERO","AVENIDA","GRAL IGNACIA ZARAGOZA","AVENIDA","GRAL JUAN CARRASCO","CALLE","CORREGIDORA","0","SN",,,,,"COLONIA","CENTRO",,,,"81000","25","SINALOA","011","Guasave","0001","Guasave","1360","002",,,"WWW.ELEKTRA.COM.MX","Fijo","25.56160446","-108.46360926","2010-07"
"6388466","25006466112000562001003387S7","3829 MEGA CULIACAN 1 COLEGIO MILITAR","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","0 a 5 personas","CALZADA","HEROICO COLEGIO MILITAR","CALLE","PLAN DE AYALA","CALLE","PLAN DE AGUA PRIETA","CALLE","EMILIANO ZAPATA","2006",,,,,,"COLONIA","SINALOA CULIACAN ROSALES",,,,"80260","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","355A","028",,,"WWW.ELEKTRA.COM.MX","Fijo","24.78915669","-107.3721832","2010-07"
"6387804","25009466112000052001003387S3","4178 MINI ELEKTRA SINALOA ESCUINAPA","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","0 a 5 personas","CALLE","MIGUEL HIDALGO","CALLE","GABRIEL LEYVA SOLANO","CALLE","INDEPENDENCIA","CALLE","5 DE MAYO","3",,,,,,"COLONIA","ESCUINAPA CENTRO",,,,"82400","25","SINALOA","009","Escuinapa","0001","Escuinapa de Hidalgo","003A","032",,,"WWW.ELEKTRA.COM.MX","Fijo","22.83491048","-105.7771318","2014-12"
"6387805","25002466112000011001003387S4","4182 MINI ELEKTRA SINALOA ANGOSTURA","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","6 a 10 personas","AVENIDA","16 DE SEPTIEMBRE","CALLE","GABRIEL LEYVA SOLANO","CALLE","CONSTITUCION","CALLE","22 DE DICIEMBRE","0","SN",,,,,"COLONIA","CENTRO ANGOSTURA",,,,"81600","25","SINALOA","002","Angostura","0001","Angostura","040A","024",,,"WWW.ELEKTRA.COM.MX","Fijo","25.36487103","-108.15982049","2010-07"
"6387198","25014466112000053002003387S1","4289 MINI EKT SINALOA EL ROSARIO","NUEVA ELEKTRA DEL MILENIO SA DE CV","466112","Comercio al por menor de electrodomésticos menores y aparatos de línea blanca","0 a 5 personas","CALLE","MANUEL CRISTERNA Y JUAREZ","CALLE","ANGELA PERALTA","CALLE","BENITO JUAREZ","CALLE","ANGELA PERALTA","0","SN",,,,,"COLONIA","EL ROSARIO CENTRO",,,,"82800","25","SINALOA","014","Rosario","0001","El Rosario","0025","017",,,"WWW.ELEKTRA.COM.MX","Fijo","22.98732973","-105.85555309","2013-07"
