"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6390200","25006463211007512002007460S8","022CULIACAN, FORUM CULIACAN","SERVICIOS SHASA S DE RL DE CV","463211","Comercio al por menor de ropa, excepto de bebé y lencería","6 a 10 personas","BOULEVARD","DIEGO VALADÉS RÍOS","AVENIDA","TEÓFILO NORIS","AVENIDA","ÁLVARO OBREGÓN","ANDADOR","LUIS DONALDO COLOSIO MURRIETA","1676",,,,,,"COLONIA","DESARROLLO URBANO 3 RIOS","CENTRO Y PLAZA COMERCIAL","FORUM CULIACAN","PB-08","80020","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","0108","058",,,"WWW.SHASA.COM","Fijo","24.81604917","-107.40067459","2010-07"
"6390843","25001463211004092002007460S5","058MOCHIS, PASEO LOS MOCHIS","SERVICIOS SHASA S DE RL DE CV","463211","Comercio al por menor de ropa, excepto de bebé y lencería","11 a 30 personas","BOULEVARD","CENTENARIO","BOULEVARD","ANTONIO ROSALES","CALLE","GABRIEL LEYVA SOLANO","AVENIDA","VICENTE LOMBARDO TOLEDANO","805",,,,,,"COLONIA","MARGARITAS","CENTRO Y PLAZA COMERCIAL","PASEO LOS MOCHIS","B36 Y B37","81270","25","SINALOA","001","Ahome","0001","Los Mochis","0417","015",,,"WWW.SHASA.COM","Fijo","25.78032758","-109.00290954","2010-07"
"6389240","25012463211005771002007460S0","086 MAZATLAN, GAL.MAZATLAN","SERVICIOS SHASA S DE RL DE CV","463211","Comercio al por menor de ropa, excepto de bebé y lencería","6 a 10 personas","AVENIDA","Avenida del Delfín","VIADUCTO","NINGUNO","AVENIDA","Paseo del Atlántico","BOULEVARD","MARINA MAZATLÁN","6204",,,,"0",,"COLONIA","MARINA MAZATLAN","CENTRO Y PLAZA COMERCIAL","GALERÍAS MAZATLÁN","165","82103","25","SINALOA","012","Mazatlán","0001","Mazatlán","2192","028",,,"WWW.SHASA.COM","Fijo","23.28003917","-106.44820077","2014-12"
"6390632","25011463211002523000003958S0","104 MELODY","MILANO OPERADORA SA DE CV","463211","Comercio al por menor de ropa, excepto de bebé y lencería","6 a 10 personas","AVENIDA","IGNACIO ZARAGOZA","AVENIDA","CORREGIDORA","CALLE","DOCTOR LUIS G. DE LA TORRE","CALLE","FRANCISCO I. MADERO","607",,,,"0",,"COLONIA","CENTRO",,,,"81000","25","SINALOA","011","Guasave","0001","Guasave","1356","013",,,"WWW.MILANO.COM","Fijo","25.56221867","-108.46106995","2010-07"
"6389892","25012463211005563000003958S1","129 MELODY","MILANO OPERADORA SA DE CV","463211","Comercio al por menor de ropa, excepto de bebé y lencería","6 a 10 personas","AVENIDA","AQUILES SERDÁN","AVENIDA","GENARO ESTRADA","CALLE","MIGUEL HIDALGO Y COSTILLA","CALLE","SEGUNDA YO TENIENTE JOSÉ AZUETA","1912",,,,"0",,"COLONIA","CENTRO",,,,"82000","25","SINALOA","012","Mazatlán","0001","Mazatlán","0393","007",,,"WWW.MILANO.COM","Fijo","23.20405289","-106.42081194","2010-07"
"6390403","25006463211008032000003958S6","181 MELODY","MILANO OPERADORA SA DE CV","463211","Comercio al por menor de ropa, excepto de bebé y lencería","6 a 10 personas","AVENIDA","GENERAL ANGEL FLORES PONIENTE","CALLE","NINGUNO","AVENIDA","NINGUNO","CALLE","NINGUNO","53",,,,"0",,"COLONIA","CENTRO",,,,"80000","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3390","032",,,"WWW.MILANO.COM","Fijo","24.80893878","-107.39508371","2014-12"
"6391039","25015463211001361002003958S7","186 MELODY","MILANO OPERADORA SA DE CV","463211","Comercio al por menor de ropa, excepto de bebé y lencería","6 a 10 personas","AVENIDA","MARIANO ESCOBEDO","AVENIDA","22 DE DICIEMBRE","CALLE","JOSÉ MARÍA MORELOS Y PAVÓN","CALLEJON","CONCORDIA","230",,,,"0",,"COLONIA","CENTRO",,,,"81400","25","SINALOA","015","Salvador Alvarado","0001","Guamúchil","0130","013",,,"WWW.MILANO.COM","Fijo","25.46073746","-108.08410622","2010-07"
"9057863","25011463211005221000000000U8","1IRON TRENDY",,"463211","Comercio al por menor de ropa, excepto de bebé y lencería","0 a 5 personas","BOULEVARD","ALFONSO G. CALDERON","CALLE","IGNACIO MANUEL ALTAMIRANO","AVENIDA","GENERAL VENUSTIANO CARRANZA","CALLE","IGNACIO MANUEL ALTAMIRANO","1532",,,,"0",,"COLONIA","ANGEL FLORES",,,,"81040","25","SINALOA","011","Guasave","0001","Guasave","0019","021","6871249434",,,"Fijo","25.56101972","-108.4673693","2019-11"
"9181013","25006463211019851000000000U6","1RON TRENDY BOUTIQUE",,"463211","Comercio al por menor de ropa, excepto de bebé y lencería","0 a 5 personas","BOULEVARD","SINALOA","CALLE","ISLA DEL SOCORRO","BOULEVARD","EL DORADO","CERRADA","ISLA DE CEDROS","890",,,,,,"COLONIA","LAS QUINTAS",,,,"80060","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","0131","017","6671547878",,,"Fijo","24.8107777","-107.37344713","2019-11"
"6386980","25006463211007973001003958S2","23 MELODY","MILANO OPERADORA SA DE CV","463211","Comercio al por menor de ropa, excepto de bebé y lencería","11 a 30 personas","CALLE","MIGUEL HIDALGO PONIENTE","CALLE","DOMINGO RUBÍ","AVENIDA","JUAN CARRASCO","CALLE","NINGUNO","194",,,,"0",,"COLONIA","CENTRO",,,,"80000","25","SINALOA","006","Culiacán","0001","Culiacán Rosales","3386","021",,,"WWW.MILANO.COM","Fijo","24.80784826","-107.39634438","2013-07"
